               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.016145,           0.0078016,          0.00082529,             0.92296,             0.86868,             0.88995,             0.60156,            0.029685,            0.010389,           0.0020133,          0.00067101,          0.00067101,          0.00067101
                 126,            0.015977,           0.0077013,          0.00063165,             0.92729,             0.87024,             0.88483,             0.62144,            0.029821,            0.010354,           0.0018692,          0.00066647,          0.00066647,          0.00066647
                 127,            0.016088,           0.0072172,           0.0004608,             0.93496,              0.8666,             0.89758,              0.6175,            0.029632,            0.010297,           0.0021025,          0.00066191,          0.00066191,          0.00066191
                 128,            0.016115,           0.0078845,          0.00075523,             0.93075,             0.85972,             0.89868,             0.61168,             0.02997,            0.010305,           0.0020524,          0.00065734,          0.00065734,          0.00065734
                 129,            0.015554,           0.0078515,          0.00064911,             0.90715,             0.88222,             0.89582,             0.61985,            0.030058,            0.010208,           0.0020885,          0.00065276,          0.00065276,          0.00065276
                 130,            0.015351,           0.0074132,          0.00044056,             0.92792,              0.8912,             0.90657,             0.62364,             0.02872,            0.010143,           0.0019112,          0.00064816,          0.00064816,          0.00064816
                 131,            0.016433,           0.0075137,          0.00038328,             0.92083,             0.87284,              0.8963,             0.62213,            0.029004,             0.01016,           0.0018402,          0.00064356,          0.00064356,          0.00064356
                 132,            0.015718,           0.0073442,          0.00054633,             0.91365,             0.86797,             0.89645,             0.61751,             0.02927,            0.010038,           0.0017478,          0.00063895,          0.00063895,          0.00063895
                 133,            0.015728,           0.0075032,          0.00051728,             0.93473,             0.84975,             0.89042,             0.62024,            0.029671,           0.0099956,           0.0017835,          0.00063432,          0.00063432,          0.00063432
                 134,            0.015677,           0.0073147,          0.00067718,             0.91571,             0.87701,             0.89655,             0.61241,            0.030053,            0.010168,            0.001858,          0.00062969,          0.00062969,          0.00062969
                 135,            0.015182,           0.0077378,          0.00054518,              0.9225,             0.87898,             0.89397,             0.60788,            0.030296,            0.010088,           0.0017339,          0.00062505,          0.00062505,          0.00062505
                 136,            0.015306,           0.0076259,          0.00062938,             0.91369,              0.8784,             0.88735,             0.60028,            0.030056,            0.010173,           0.0017945,           0.0006204,           0.0006204,           0.0006204
                 137,            0.015277,           0.0075404,          0.00049237,             0.89995,              0.8728,             0.88658,              0.6068,             0.03008,            0.010282,           0.0021104,          0.00061574,          0.00061574,          0.00061574
                 138,            0.015292,           0.0074895,          0.00047087,             0.90339,              0.8782,             0.89371,               0.617,             0.02979,            0.010007,           0.0020196,          0.00061107,          0.00061107,          0.00061107
                 139,            0.015636,           0.0075499,          0.00046762,             0.91524,             0.87284,             0.89341,             0.61538,            0.030239,            0.010159,           0.0019916,           0.0006064,           0.0006064,           0.0006064
                 140,            0.015651,           0.0074724,          0.00051954,             0.92121,             0.85971,             0.89364,             0.62444,             0.03032,           0.0099191,           0.0017545,          0.00060172,          0.00060172,          0.00060172
                 141,            0.015189,           0.0075292,          0.00046387,             0.92639,             0.87284,             0.89203,             0.62113,            0.030195,            0.009845,            0.001698,          0.00059704,          0.00059704,          0.00059704
